freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,values
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES,2023,5.74
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES,2024,5.66
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,ES,2025,5.49
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT,PT,2023,13.36
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,2023,6.88
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,2024,6.94
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,ES,2025,6.97
A,0-9,C10-S951_X_K,E_AIX_CC1SIX_DA,PC_ENT_IUSE,PT,2023,15.23
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES,2023,1.4
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES,2024,1.44
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,ES,2025,1.95
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT,PT,2023,5.04
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT_IUSE,ES,2023,1.68
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT_IUSE,ES,2024,1.76
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT_IUSE,ES,2025,2.47
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DA,PC_ENT_IUSE,PT,2023,5.74
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT,ES,2023,3.78
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT,ES,2024,4.39
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT,ES,2025,3.53
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT,PT,2023,9.38
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT_IUSE,ES,2023,4.53
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT_IUSE,ES,2024,5.39
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT_IUSE,ES,2025,4.49
A,0-9,C10-S951_X_K,E_AIX_CC1SI_DAX,PC_ENT_IUSE,PT,2023,10.69
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,ES,2021,0.39
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,ES,2023,0.48
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,ES,2024,0.36
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,ES,2025,0.72
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,PT,2021,0.55
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,PT,2023,0.35
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT,PT,2024,0.45
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,ES,2021,11.53
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,ES,2023,10.63
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,ES,2024,6.3
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,ES,2025,7.12
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,PT,2021,14.89
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,PT,2023,14.36
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,PT,2024,11.21
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,ES,2021,0.48
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,ES,2023,0.57
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,ES,2024,0.44
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,ES,2025,0.91
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,PT,2021,0.65
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,PT,2023,0.4
A,0-9,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,PT,2024,0.52
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,ES,2021,0.83
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,ES,2023,0.8
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,ES,2024,0.73
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,ES,2025,0.94
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,PT,2021,1.26
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,PT,2023,1.04
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT,PT,2024,1.09
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,ES,2021,24.23
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,ES,2023,17.66
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,ES,2024,12.78
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,ES,2025,9.31
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,PT,2021,34.39
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,PT,2023,42.88
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,PT,2024,27.16
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,ES,2021,1.02
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,ES,2023,0.96
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,ES,2024,0.9
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,ES,2025,1.19
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,PT,2021,1.49
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,PT,2023,1.18
A,0-9,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,PT,2024,1.26
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,ES,2021,0.25
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,ES,2023,0.4
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,ES,2024,0.52
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,ES,2025,0.75
A,0-9,C10-S951_X_K,E_AI_AMOWN,PC_ENT,PT,2021,0.47
